BuildingIndex,Year,Month,Day,Hour,Power
1,2018,7,30,0,10
1,2018,7,30,1,10
1,2018,7,30,2,10
1,2018,7,30,3,10
1,2018,7,30,4,10
1,2018,7,30,5,10
1,2018,7,30,6,10
1,2018,7,30,7,10
1,2018,7,30,8,10
1,2018,7,30,9,10
1,2018,7,30,10,10
1,2018,7,30,11,-30
1,2018,7,30,12,-30
1,2018,7,30,13,-30
1,2018,7,30,14,-30
1,2018,7,30,15,-30
1,2018,7,30,16,-30
1,2018,7,30,17,-30
1,2018,7,30,18,-30
1,2018,7,30,19,10
1,2018,7,30,20,10
1,2018,7,30,21,10
1,2018,7,30,22,10
1,2018,7,30,23,10
1,2018,7,30,0,0
1,2018,7,30,1,0
1,2018,7,30,2,0
1,2018,7,30,3,0
1,2018,7,30,4,0
1,2018,7,30,5,0
1,2018,7,30,6,0
1,2018,7,30,7,0
1,2018,7,30,8,0
1,2018,7,30,9,0
1,2018,7,30,10,0
1,2018,7,30,11,0
1,2018,7,30,12,0
1,2018,7,30,13,0
1,2018,7,30,14,0
1,2018,7,30,15,0
1,2018,7,30,16,0
1,2018,7,30,17,0
1,2018,7,30,18,0
1,2018,7,30,19,0
1,2018,7,30,20,0
1,2018,7,30,21,0
1,2018,7,30,22,0
1,2018,7,30,23,0
